Play Area: 2.1m x 3.4m, 1.447934
24 courses available, 1.4537
Play Area: 2.1m x 3.4m, 1.896606
24 courses available, 1.903144
Tare feet, 185.5009
Loaded course_6_swing, 196.1385
Subject navigating course: True, 250.835
Off course, 273.3041
Back on course, 273.981
Off course, 275.8135
Back on course, 275.8582
Off course, 275.8686
Back on course, 277.4684
Off course, 280.156
Back on course, 282.1219
collide*(3.4423, 1.3517, 1.6686)*CollisionTracker_EYE*(0.1546, 0.0974, 0.4190) *(0.5636, 0.1765, -0.4841)*(3.3632, 1.3776, 1.7029)*FlagZY*(3.6000, 1.3000, 1.6000), 667.233
Off course, 667.431
collide*(3.3842, 0.0504, 1.6554)*CollisionTracker_LF*(0.0005, -0.0048, -0.0079) *(-0.0246, -0.0702, -0.0128)*(3.3958, 0.0050, 1.7215)*Foot*(3.4231, 0.0465, 1.5848), 667.6315
collide*(3.4325, -0.0006, 1.6887)*CollisionTracker_RF*(0.4349, -0.2560, 0.8130) *(1.3520, -0.2799, -0.0074)*(3.4239, 0.0451, 1.5862)*Foot*(3.3958, 0.0050, 1.7215), 667.6366
collide*(3.4766, 0.0148, 1.7248)*CollisionTracker_LF*(-0.0362, -0.0747, 0.0842) *(-1.2088, -0.9100, 2.3532)*(3.3926, -0.0055, 1.7348)*Foot*(3.5058, 0.0096, 1.6768), 667.9326
collide*(3.4257, -0.0184, 1.6896)*CollisionTracker_RF*(0.0809, -0.1173, 0.1812) *(0.0445, 0.6849, 9.7704)*(3.5072, 0.0086, 1.6781)*Foot*(3.3926, -0.0055, 1.7348), 667.9375
collide*(3.4917, 0.0175, 1.7499)*CollisionTracker_LF*(0.1640, 0.1976, 0.1210) *(3.1932, -1.4383, 1.2752)*(3.4191, 0.0357, 1.7834)*Foot*(3.5070, 0.0048, 1.6769), 668.1975
collide*(3.4718, 0.0156, 1.7116)*CollisionTracker_RF*(0.0035, -0.0130, 0.0128) *(-0.3219, 0.2667, -0.1867)*(3.5083, 0.0038, 1.6782)*Foot*(3.4191, 0.0357, 1.7834), 668.2025
collide*(3.6251, 1.1314, 1.6990)*CollisionTracker_RH*(-0.0505, 0.0725, -0.0029) *(-0.5060, 0.2079, -0.3461)*(3.6567, 1.0973, 1.6157)*FlagZY*(3.6000, 1.3000, 1.6000), 669.3634
Pulse, 669.4415
Subject navigating course: False, 670.5767
Tare feet, 835.2608
Loaded course_9_swing, 839.4803
Subject navigating course: True, 884.1052
Back on course, 884.1193
Off course, 892.8447
Back on course, 892.9118
Off course, 892.9557
Back on course, 892.9795
Off course, 893.9551
Back on course, 894.433
Off course, 895.6005
Back on course, 896.9213
collide*(2.4242, 0.6238, 0.2415)*CollisionTracker_LF*(-1.1684, 0.2613, -0.3814) *(0.1960, -11.9906, -5.3970)*(2.4363, 0.6498, 0.3606)*ObstacleFront*(2.4000, 0.6500, 0.2000), 897.3089
collide*(2.3776, 0.6309, 0.2237)*CollisionTracker_LF*(-1.2339, 0.0059, -0.5194) *(-2.0948, -7.5694, -4.4363)*(2.3931, 0.6415, 0.3387)*ObstacleFront*(2.4000, 0.6500, 0.2000), 897.3433
Off course, 897.6875
Back on course, 898.5864
Off course, 900.2202
Back on course, 901.3969
Off course, 901.7197
Back on course, 902.0516
collide*(0.4275, 1.4413, 0.3493)*CollisionTracker_EYE*(-0.1553, 0.0384, 0.1747) *(0.6637, 0.2801, 1.6563)*(0.4561, 1.3742, 0.2966)*Obstacle*(0.4000, 1.5058, 0.4000), 903.2389
Off course, 906.7603
Back on course, 907.6376
collide*(0.7795, 0.3020, 1.4779)*CollisionTracker_RF*(0.7129, 0.9166, -0.0220) *(2.6764, 3.9854, -1.0546)*(0.8284, 0.2061, 1.5364)*ObstacleFront*(0.8000, 0.3250, 1.4000), 909.5256
collide*(0.8445, 0.3710, 1.4530)*CollisionTracker_RF*(0.7332, 1.3364, -0.2833) *(0.1064, 1.1795, -0.7407)*(0.9201, 0.3722, 1.4992)*ObstacleFront*(0.8000, 0.3250, 1.4000), 909.6475
pressed_ButtonBig(Clone), 910.7701
collide*(3.5050, 1.1087, 1.0551)*CollisionTracker_LH*(0.6024, 1.0699, 0.5177) *(-0.1002, 1.2997, -2.0362)*(3.4637, 1.1826, 1.0191)*FlagZY*(3.6000, 1.3000, 1.2000), 918.0004
collide*(3.4308, 1.2097, 1.3333)*CollisionTracker_RH*(0.3934, 0.4116, -0.8220) *(1.1896, 1.1169, -2.5878)*(3.4443, 1.2585, 1.3642)*FlagZY*(3.6000, 1.3000, 1.2000), 919.3318
collide*(3.5183, 1.2371, 1.0396)*CollisionTracker_LH*(0.6420, 1.3098, 0.0725) *(7.4981, 18.7292, 8.6613)*(3.5680, 1.2268, 0.9511)*FlagZY*(3.6000, 1.3000, 1.2000), 921.664
Subject navigating course: False, 923.2444
